Stroma; POLYGON; 128, 128, 128; 343,764;345,764;346,764;348,764;349,764;353,766;
Specular reflection; POLYGON; 191, 91, 22; 333,555;333,556;333,557;333,558;333,559;333,560;334,563;335,564;335,565;335,566;337,566;338,569;339,570;340,570;341,570;342,570;343,570;344,570;345,570;346,570;347,570;348,570;349,570;349,569;350,569;350,568;351,568;353,566;353,563;353,562;353,561;353,560;353,559;353,558;352,558;351,558;351,557;350,557;349,556;348,555;345,554;
Specular reflection; POLYGON; 191, 91, 22; 388,531;387,532;386,532;385,533;384,534;383,535;382,536;381,538;380,538;379,540;378,542;377,543;377,544;377,545;378,546;379,547;381,550;382,551;382,552;383,552;384,553;385,553;387,554;388,554;389,554;391,555;397,556;399,556;400,556;401,555;402,555;403,554;404,554;405,553;405,552;406,552;407,551;407,550;408,550;409,548;410,545;410,544;410,543;410,542;410,541;409,537;408,532;407,530;407,529;407,528;406,528;405,527;405,526;404,526;403,526;401,526;399,526;397,527;396,527;394,528;391,529;390,530;389,530;386,532;385,533;385,534;385,536;385,537;386,538;387,538;
Specular reflection; POLYGON; 191, 91, 22; 438,557;437,558;436,559;435,560;434,561;433,562;431,564;430,566;429,567;429,568;429,569;429,570;429,571;431,573;434,577;435,578;436,578;437,579;438,579;439,579;441,579;443,579;444,580;446,580;453,578;453,577;454,577;455,576;456,575;457,575;457,574;458,574;458,573;459,573;459,572;460,572;460,571;461,570;462,569;463,569;463,568;464,566;466,562;466,561;466,560;467,559;467,558;467,557;467,556;467,555;467,554;467,553;467,552;466,550;458,546;457,546;455,546;453,546;450,547;448,548;447,548;445,548;443,550;441,550;439,551;438,552;436,553;433,554;432,555;431,556;430,556;430,557;431,558;432,560;433,560;433,561;434,562;436,564;437,566;
Specular reflection; POLYGON; 191, 91, 22; 431,595;429,600;429,601;429,602;429,603;429,604;429,605;429,606;429,607;429,608;429,609;429,610;430,610;431,611;436,614;438,614;440,614;442,614;443,613;445,613;446,612;447,612;449,611;450,610;451,609;451,608;452,608;453,606;453,600;453,599;453,598;453,597;452,594;452,592;451,591;451,590;451,589;450,589;449,588;447,588;445,588;444,588;443,588;437,588;436,588;435,589;434,590;433,590;430,593;431,599;432,600;
Specular reflection; POLYGON; 191, 91, 22; 405,586;404,587;402,588;399,592;399,593;399,594;398,595;398,596;398,597;398,598;400,600;401,600;401,601;402,601;404,602;405,603;407,603;411,604;413,604;414,604;415,604;416,604;417,604;418,604;419,603;419,602;419,601;420,600;421,599;421,598;421,597;421,596;422,595;422,594;423,594;423,593;423,592;422,591;422,590;418,584;417,583;416,582;414,581;413,581;411,581;409,582;407,582;405,583;403,585;401,586;400,586;399,588;398,589;399,590;
Specular reflection; POLYGON; 191, 91, 22; 376,572;375,574;374,575;373,576;372,578;371,580;371,582;371,584;372,585;373,586;374,587;375,589;376,590;377,592;377,593;377,594;378,594;378,595;379,596;379,597;380,598;381,598;381,599;382,600;383,600;384,600;385,600;386,600;387,600;388,600;389,600;389,599;390,598;391,598;391,597;392,596;393,596;393,595;393,594;394,594;395,592;395,591;396,590;396,589;397,588;397,587;397,586;397,585;397,584;397,582;397,581;397,577;394,572;393,572;392,571;391,571;391,570;390,570;389,570;388,570;387,569;386,569;385,568;384,568;383,568;382,568;379,569;375,572;374,572;373,573;373,574;373,575;374,575;375,576;
Specular reflection; POLYGON; 191, 91, 22; 361,582;360,583;359,584;358,584;357,585;357,586;355,586;354,587;353,588;353,589;352,590;351,590;351,593;352,596;353,597;353,598;354,598;355,599;356,600;357,600;358,601;361,603;363,604;365,604;366,603;369,600;373,595;374,594;374,592;374,591;375,590;375,589;374,588;374,587;373,586;373,585;372,585;371,585;370,585;369,584;367,584;366,584;365,584;365,585;363,586;
Specular reflection; POLYGON; 191, 91, 22; 328,627;327,628;327,629;326,630;325,634;325,636;325,637;325,638;325,639;325,640;326,641;327,643;328,644;328,645;329,646;330,647;330,648;331,648;332,648;332,649;333,649;334,649;335,649;336,649;337,649;338,649;339,649;340,648;341,648;343,646;345,645;346,644;347,643;347,642;348,642;348,641;349,640;350,638;351,637;351,636;351,635;351,634;352,634;352,633;352,632;353,631;353,630;353,629;353,628;353,626;353,625;353,624;352,622;350,620;350,619;349,618;348,618;347,618;346,618;345,618;344,618;343,619;341,620;339,621;337,621;336,622;334,623;333,624;332,624;329,626;328,627;328,628;326,630;329,631;331,632;
Specular reflection; POLYGON; 191, 91, 22; 310,663;309,665;308,666;307,666;307,667;307,668;305,674;306,675;307,676;307,677;308,678;309,678;310,679;311,680;312,680;313,680;313,681;314,681;314,682;315,682;316,683;317,683;319,683;320,682;321,682;322,681;322,680;323,680;323,679;324,678;325,678;325,677;325,676;326,676;326,675;327,674;327,673;328,672;329,670;329,669;329,668;329,666;328,665;327,664;325,664;323,664;323,663;322,663;321,662;320,662;318,661;317,660;316,660;315,660;315,661;315,662;
Specular reflection; POLYGON; 191, 91, 22; 363,626;361,631;360,636;360,638;360,639;360,640;361,640;361,641;361,642;362,642;363,643;365,644;366,644;372,644;373,644;374,644;375,644;376,644;377,644;378,644;379,644;380,643;381,642;382,642;382,641;383,640;385,640;386,638;387,638;387,637;388,636;389,635;389,634;390,633;391,632;391,630;392,629;392,628;392,627;392,626;392,625;392,624;392,623;392,622;391,621;391,620;389,618;387,617;387,616;386,616;385,616;381,616;375,617;371,618;370,618;369,619;367,620;366,620;366,621;366,622;367,622;367,623;369,623;
Specular reflection; POLYGON; 191, 91, 22; 396,635;396,636;396,637;396,638;396,639;396,640;397,640;397,641;397,642;397,643;397,644;397,645;398,645;398,646;399,647;399,649;400,650;399,650;398,650;397,651;396,652;395,652;393,653;391,654;387,656;386,656;385,656;385,657;384,657;384,658;383,658;383,659;383,660;383,661;382,662;381,662;381,663;379,664;379,665;377,666;372,669;371,670;370,670;369,670;369,671;368,671;367,671;367,672;366,673;366,674;365,674;365,675;365,676;365,677;365,678;364,678;363,680;362,681;361,682;361,683;360,683;359,684;359,685;358,686;357,687;357,688;357,689;357,690;356,691;355,691;355,692;354,692;353,693;353,694;352,694;349,696;344,696;343,696;343,697;342,697;341,697;340,697;340,698;339,698;339,699;338,699;337,700;336,700;335,701;334,701;332,702;327,705;326,706;325,706;324,707;323,707;322,707;321,707;320,708;319,708;318,708;317,709;317,710;316,710;315,711;313,712;309,714;307,715;307,716;306,716;305,716;304,717;303,717;303,718;302,718;301,718;300,718;299,718;299,719;297,720;297,721;296,721;296,722;294,722;293,724;291,725;291,726;289,728;289,729;288,729;287,730;286,731;285,732;284,733;282,734;281,734;281,735;280,735;280,736;279,736;278,736;277,737;277,738;276,738;274,740;273,741;273,742;273,743;272,744;272,745;271,746;271,747;271,748;270,749;270,750;269,751;269,752;269,753;268,754;268,756;268,757;268,758;268,759;268,760;268,761;268,762;268,763;268,764;268,765;268,766;268,767;268,768;268,769;268,770;268,771;268,772;268,773;268,774;268,775;268,776;268,777;268,780;268,786;268,787;269,788;269,789;269,790;269,791;269,792;269,794;270,794;270,795;271,797;273,802;273,803;273,804;273,805;273,806;274,807;274,808;275,808;275,809;275,810;277,811;277,812;278,812;279,813;280,814;281,814;283,815;284,816;285,816;286,816;287,816;287,817;288,818;289,818;290,819;291,820;292,820;293,820;294,820;295,821;299,822;301,822;302,823;303,823;304,823;305,823;307,823;308,822;309,822;310,822;311,822;312,822;313,822;314,821;316,821;318,820;319,819;321,818;322,816;323,815;325,813;329,808;330,808;331,808;331,807;332,806;332,805;333,804;333,802;333,800;333,799;333,798;333,796;333,794;333,793;332,792;332,791;331,790;331,788;330,788;329,787;329,786;328,786;328,785;328,784;327,784;327,782;326,781;325,780;324,779;323,778;323,777;322,777;322,776;321,775;321,774;321,773;320,772;320,771;319,770;319,769;319,768;318,767;319,767;320,766;321,766;322,766;324,766;331,766;333,766;335,766;335,765;336,765;337,765;338,765;339,765;340,764;341,764;342,764;343,764;344,764;345,764;347,764;348,763;349,763;353,764;354,764;354,765;355,766;355,767;355,768;356,768;356,769;356,770;356,771;356,772;356,773;356,776;356,778;356,779;356,780;356,781;356,782;356,783;357,783;357,784;357,785;358,785;358,786;359,786;360,786;361,787;362,787;363,788;364,788;365,788;366,788;367,788;369,787;370,786;371,786;373,785;373,784;374,784;377,783;377,782;379,782;379,781;382,779;383,778;384,777;384,776;385,776;385,775;386,775;386,774;387,774;388,773;388,772;389,772;389,770;389,769;389,768;389,767;388,766;388,765;388,764;388,763;387,762;387,761;387,760;387,759;386,758;385,757;385,756;384,755;383,755;383,754;382,754;381,754;380,754;379,754;378,753;377,752;374,751;373,750;372,750;371,750;371,749;370,748;369,748;369,747;368,746;367,745;367,744;366,744;365,744;365,743;364,742;363,742;362,742;362,741;361,741;357,736;356,735;355,734;355,733;355,732;354,732;354,731;354,730;354,728;355,727;355,726;356,726;357,725;358,725;358,724;359,724;361,722;362,722;363,721;365,720;365,721;365,722;366,722;367,723;367,724;368,725;368,726;369,726;370,728;371,728;371,729;371,730;372,730;373,732;374,733;374,734;375,735;376,736;377,736;377,737;378,737;379,738;383,740;383,741;384,742;385,743;385,744;386,744;386,745;387,745;387,746;388,746;389,746;389,747;390,748;391,748;392,749;393,749;394,750;395,750;395,751;396,751;396,752;397,752;397,753;397,754;397,755;397,756;397,757;397,758;398,758;398,760;398,761;399,762;399,763;399,764;399,765;399,766;399,768;399,769;399,770;399,771;399,772;399,773;399,774;399,775;399,776;399,777;399,778;400,778;401,778;401,779;402,779;402,780;403,780;404,780;405,781;406,781;407,782;409,786;410,787;410,788;411,788;411,789;411,790;411,791;411,792;411,793;411,794;411,795;411,796;410,796;410,797;409,798;408,799;407,799;406,799;405,798;404,798;403,797;401,796;400,796;399,796;398,796;398,795;397,795;395,795;394,795;393,795;393,796;392,796;391,796;390,797;389,797;389,798;388,798;387,799;386,800;385,801;384,802;383,802;383,803;382,804;381,805;381,806;380,807;380,808;379,809;379,810;379,811;379,812;378,812;378,813;378,814;377,815;377,816;376,817;376,818;375,818;375,819;375,820;373,822;373,823;372,823;372,824;371,824;370,826;369,826;368,827;367,828;366,829;365,829;365,830;364,830;363,830;362,830;361,830;360,830;359,830;353,832;352,833;351,834;350,834;349,834;349,835;348,835;347,835;347,836;346,836;345,836;345,837;344,838;343,838;343,839;341,840;341,841;340,841;339,842;335,844;334,844;333,844;333,845;332,845;331,845;331,846;330,846;329,846;328,847;327,847;327,848;325,848;325,849;324,849;323,850;322,850;321,851;320,852;320,853;319,853;319,854;317,854;316,854;316,855;315,855;314,855;313,856;312,856;311,856;308,860;307,861;307,862;306,862;306,863;305,864;305,865;303,868;302,868;302,869;301,869;301,870;301,871;300,872;299,873;299,874;298,875;298,876;297,880;296,881;296,882;295,883;295,884;295,885;295,886;295,888;295,889;295,890;295,891;295,892;295,894;295,896;295,897;295,898;295,899;295,900;296,900;297,902;297,903;297,904;298,905;299,906;300,907;301,908;302,908;303,909;304,910;305,910;306,910;307,910;308,910;309,910;310,910;311,909;313,908;315,908;315,907;316,906;317,905;320,902;322,900;323,900;323,899;327,895;330,890;331,889;331,888;332,888;333,888;334,887;335,886;336,886;337,886;338,885;339,884;340,884;341,883;343,882;344,881;347,879;351,878;352,878;353,877;354,877;355,876;356,876;357,876;357,875;358,875;358,874;361,874;362,874;363,874;364,874;365,874;365,875;366,875;367,876;368,876;369,877;370,877;371,877;372,877;373,877;375,876;377,874;378,873;379,872;380,872;381,872;382,872;382,871;383,871;383,870;385,870;387,870;387,869;388,869;389,868;391,868;393,868;394,867;394,866;395,866;395,865;395,864;396,864;396,862;397,862;397,861;397,860;398,858;399,858;399,856;399,855;399,854;400,853;400,852;401,852;401,851;401,850;402,850;403,850;404,850;404,849;405,849;406,849;407,848;408,848;409,848;410,847;411,847;411,846;412,846;413,846;413,844;414,843;415,841;417,838;418,838;419,837;420,837;421,837;422,837;422,836;423,836;424,836;428,832;429,831;430,830;431,829;431,828;432,828;433,827;433,826;434,826;434,825;435,825;435,824;436,824;437,824;437,823;438,823;439,823;440,823;441,823;441,822;442,822;443,822;444,821;445,820;445,819;446,818;447,817;447,816;448,816;449,816;449,815;450,815;451,815;452,815;452,816;453,816;454,816;455,816;456,816;457,817;458,817;459,817;460,817;461,817;462,817;463,816;465,815;466,814;467,814;467,813;467,812;468,812;469,811;469,810;470,810;470,809;471,809;472,808;473,808;474,807;476,805;477,804;478,803;478,802;478,801;479,800;479,799;479,798;479,797;479,796;480,795;480,794;481,793;481,792;481,787;481,786;481,785;482,783;482,782;482,781;482,780;481,780;481,779;481,778;480,778;480,777;480,776;479,775;479,772;479,771;478,770;477,770;476,770;475,770;474,770;473,770;472,770;471,770;471,771;470,771;469,771;468,772;467,772;466,772;465,772;463,772;461,772;459,772;458,772;457,772;456,772;455,772;454,772;453,772;452,772;451,772;450,772;449,772;448,772;447,772;447,773;445,773;444,773;443,773;442,773;441,773;440,773;439,773;438,773;437,773;437,772;436,772;435,772;434,772;433,771;433,770;432,770;431,770;430,769;430,768;429,768;429,767;428,767;428,766;426,765;425,764;424,764;423,764;422,764;421,764;421,763;420,763;419,763;418,762;417,762;417,761;417,760;416,760;416,759;415,759;415,758;415,756;414,756;414,755;414,754;414,753;414,752;415,752;415,751;415,750;416,750;417,749;417,748;418,748;418,747;419,746;420,746;421,746;421,745;422,745;423,745;424,745;425,745;425,746;426,746;427,745;427,744;428,744;429,743;429,742;430,742;431,742;431,741;432,741;433,741;433,740;434,740;435,740;435,739;436,739;437,738;438,738;439,738;439,737;440,737;441,736;441,735;442,735;442,734;443,732;443,731;443,730;444,730;444,729;444,728;444,727;444,726;444,725;444,724;444,723;443,722;443,721;443,720;443,719;442,719;442,718;442,717;441,716;441,715;441,714;441,713;441,712;440,712;439,710;438,708;438,707;437,706;437,705;437,704;436,704;435,704;434,704;433,703;432,703;432,702;431,702;431,701;430,701;430,700;429,700;428,700;427,700;426,700;425,700;425,699;424,698;423,698;422,698;421,698;420,697;419,696;418,695;417,695;417,694;416,693;414,691;413,691;413,690;412,690;411,690;410,690;409,690;409,691;408,691;407,691;406,691;405,691;404,691;403,691;399,690;398,690;397,690;396,690;395,689;394,689;393,689;392,689;391,689;390,689;389,689;390,688;390,688;391,686;391,685;392,684;392,683;392,682;392,681;392,680;393,680;393,679;393,678;393,677;393,676;393,675;394,675;394,674;395,674;395,673;396,673;397,673;397,672;398,672;399,672;400,672;401,672;402,671;403,671;403,670;404,670;406,668;407,668;407,667;408,667;408,666;409,666;409,665;410,665;411,664;411,663;413,661;413,660;413,659;413,658;414,658;415,658;415,657;416,657;416,656;417,656;417,655;418,654;419,654;419,652;419,651;420,650;420,646;420,645;420,644;420,643;420,642;420,641;420,640;420,639;419,638;419,637;419,636;419,635;419,634;419,631;419,630;418,628;418,627;417,626;415,624;413,623;412,622;411,622;410,622;409,622;408,622;407,622;406,622;405,623;403,623;403,624;402,624;401,624;400,624;399,625;398,625;397,625;396,626;395,626;394,628;395,629;395,630;396,630;398,631;399,631;
Specular reflection; POLYGON; 191, 91, 22; 433,652;433,653;432,653;432,654;431,654;430,654;429,655;429,656;428,656;427,657;426,658;425,661;425,662;425,663;425,664;424,664;424,665;424,666;424,667;424,668;425,668;425,669;427,672;429,675;429,676;430,677;430,678;431,678;431,680;432,680;432,681;434,685;435,685;435,686;435,687;435,688;435,689;435,690;435,692;435,693;436,693;436,694;437,694;437,695;439,698;441,700;442,701;443,702;444,702;446,702;447,702;447,703;448,703;449,703;450,702;451,702;453,701;454,701;455,700;456,700;457,700;459,699;459,698;460,698;461,698;462,697;464,695;465,695;466,694;467,694;468,694;469,694;469,693;470,693;471,693;473,692;474,692;474,691;475,691;477,690;478,690;479,689;480,688;481,688;482,688;483,688;483,687;484,686;485,686;486,686;487,685;487,684;488,684;489,684;489,683;489,682;489,681;489,680;489,679;489,678;489,677;489,676;488,676;488,675;487,675;487,674;486,674;484,672;483,672;483,671;482,670;481,670;481,669;479,668;478,667;477,666;476,666;475,665;474,665;474,664;473,664;471,664;470,664;469,664;468,664;467,664;466,664;465,664;464,664;463,664;462,664;461,664;460,664;459,663;458,663;458,662;457,662;456,660;455,658;455,657;454,656;453,655;453,654;452,654;451,653;451,652;450,652;449,652;449,651;447,651;445,651;444,651;443,652;441,652;
